plaque_ID	Pomu	Labi	Anfr	Nahe	Zalo	milieu
1	0	0	2	0	0	lisiere
2	2	2	17	0	2	lisiere
3	2	1	29	1	3	lisiere
4	1	1	19	0	2	lisiere
5	7	3	15	3	3	lisiere
6	5	1	75	6	3	lisiere
8	0	0	8	0	1	prairie
9	0	0	4	0	2	prairie
10	0	0	4	2	6	lisiere
11	0	0	3	0	0	lisiere
12	1	0	7	1	2	lisiere
13	8	1	58	6	2	lisiere
14	6	0	25	6	1	lisiere
15	0	0	1	0	0	lisiere
16	0	0	18	0	0	prairie
17	0	0	9	1	6	lisiere
18	0	0	2	0	0	lisiere
21	0	0	2	0	3	prairie
22	0	0	0	0	3	prairie
23	0	0	10	0	1	prairie
24	0	0	5	2	2	prairie
25	0	0	3	0	0	prairie
26	0	0	1	0	1	prairie
27	0	0	9	1	0	prairie
