plaque_ID	species	n
1	Pomu	0
2	Pomu	2
3	Pomu	2
4	Pomu	1
5	Pomu	7
6	Pomu	5
8	Pomu	0
9	Pomu	0
10	Pomu	0
11	Pomu	0
12	Pomu	1
13	Pomu	8
14	Pomu	6
15	Pomu	0
16	Pomu	0
17	Pomu	0
18	Pomu	0
21	Pomu	0
22	Pomu	0
23	Pomu	0
24	Pomu	0
25	Pomu	0
26	Pomu	0
27	Pomu	0
1	Labi	0
2	Labi	2
3	Labi	1
4	Labi	1
5	Labi	3
6	Labi	1
8	Labi	0
9	Labi	0
10	Labi	0
11	Labi	0
12	Labi	0
13	Labi	1
14	Labi	0
15	Labi	0
16	Labi	0
17	Labi	0
18	Labi	0
21	Labi	0
22	Labi	0
23	Labi	0
24	Labi	0
25	Labi	0
26	Labi	0
27	Labi	0
1	Anfr	2
2	Anfr	17
3	Anfr	29
4	Anfr	19
5	Anfr	15
6	Anfr	75
8	Anfr	8
9	Anfr	4
10	Anfr	4
11	Anfr	3
12	Anfr	7
13	Anfr	58
14	Anfr	25
15	Anfr	1
16	Anfr	18
17	Anfr	9
18	Anfr	2
21	Anfr	2
22	Anfr	0
23	Anfr	10
24	Anfr	5
25	Anfr	3
26	Anfr	1
27	Anfr	9
1	Nahe	0
2	Nahe	0
3	Nahe	1
4	Nahe	0
5	Nahe	3
6	Nahe	6
8	Nahe	0
9	Nahe	0
10	Nahe	2
11	Nahe	0
12	Nahe	1
13	Nahe	6
14	Nahe	6
15	Nahe	0
16	Nahe	0
17	Nahe	1
18	Nahe	0
21	Nahe	0
22	Nahe	0
23	Nahe	0
24	Nahe	2
25	Nahe	0
26	Nahe	0
27	Nahe	1
1	Zalo	0
2	Zalo	2
3	Zalo	3
4	Zalo	2
5	Zalo	3
6	Zalo	3
8	Zalo	1
9	Zalo	2
10	Zalo	6
11	Zalo	0
12	Zalo	2
13	Zalo	2
14	Zalo	1
15	Zalo	0
16	Zalo	0
17	Zalo	6
18	Zalo	0
21	Zalo	3
22	Zalo	3
23	Zalo	1
24	Zalo	2
25	Zalo	0
26	Zalo	1
27	Zalo	0
