sp	n	age	milieu
Pomu	25	mature	lisiere
Labi	9	mature	lisiere
Anfr	150	mature	lisiere
Nahe	9	mature	lisiere
Zalo	15	mature	lisiere
Pomu	7	mature	prairie
Labi	4	mature	prairie
Anfr	67	mature	prairie
Nahe	4	mature	prairie
Zalo	13	mature	prairie
Pomu	15	immature	lisiere
Labi	3	immature	lisiere
Anfr	161	immature	lisiere
Nahe	17	immature	lisiere
Zalo	17	immature	lisiere
Pomu	3	immature	prairie
Labi	0	immature	prairie
Anfr	4	immature	prairie
Nahe	2	immature	prairie
Zalo	4	immature	prairie
