dist;species
5.42;pomu
5.42;pomu
5.42;pomu
5.42;pomu
5.42;pomu
8.6;pomu
16;pomu
16;pomu
2;pomu
4;pomu
5.3;labi
3;labi
9.61;labi
9;labi
4.89;anfr
4.89;anfr
4.89;anfr
4.89;anfr
4.89;anfr
4.89;anfr
4.89;anfr
4.89;anfr
2.12;anfr
2.12;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
4.92;anfr
18.4;anfr
18.4;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
26.5;anfr
10.9;anfr
10.9;anfr
10.9;anfr
10.9;anfr
10.9;anfr
20.1;anfr
20.1;anfr
20.1;anfr
23;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
18.2;anfr
7.2;anfr
5;anfr
4;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
9;anfr
10.9;nahe
10.9;nahe
18.2;nahe
4.8;nahe
25.5;nahe
9;nahe
4.89;zalo
2.12;zalo
2.12;zalo
18.4;zalo
18.4;zalo
18.4;zalo
18.8;zalo
18.8;zalo
18.8;zalo
26.5;zalo
10.9;zalo
10.9;zalo
23;zalo
5.42;zalo
13.2;zalo
27;zalo
9;zalo
