SP;Sexe;Statut;ID;cumul parcouru;nbre de capture
zalo;M;AD;21;24.7;2
zalo;M;AD;1_15;0;2
zalo;M;SUB;1_19;241;5
zalo;M;AD;2_14;64.4;2
zalo;M;SUB;2_19;153;2
zalo;M;SUB;2_21;53.3;2
zalo;M;AD;3_5;114;3
zalo;F;AD;17;37.5;3
zalo;F;AD;34;45.7;7
zalo;F;AD;38;42.6;2
zalo;F;SUB;2_16;182;3
zalo;F;AD;2_18;22.7;3
zalo;F;SUB;2_19;76.3;2
zalo;F;SUB;2_21;81.8;2
zalo;F;SUB;2_44;38.7;2
zalo;F;SUB;2_4_10;166;4
nahe;M;AD;2_37;3;2
nahe;M;SUB;3_10;103;2
nahe;F;AD;23;156;3
nahe;F;SUB;3_26;80;3
anfr;M;AD;2018/5;19.3;3
anfr;M;AD;1;0;2
anfr;M;AD;2;0;3
anfr;M;AD;8;0;2
anfr;M;AD;17;125;7
anfr;M;AD;19;60.5;4
anfr;M;AD;23;5.4;3
anfr;F;AD;9;17.8;2
anfr;F;AD;11;41;2
anfr;F;AD;12;32.3;2
